         4666751 function calls (4278882 primitive calls) in 17.153 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.196    0.196 F:\Ventura\env\Lib\site-packages\torch\distributed\tensor\_collective_utils.py:1(<module>)
103765/41081    0.177    0.000    0.195    0.000 F:\Ventura\env\Lib\site-packages\torch\nn\modules\module.py:2778(named_modules)
        1    0.000    0.000    0.194    0.194 F:\Ventura\env\Lib\site-packages\torch\library.py:788(register)
       23    0.008    0.000    0.194    0.008 E:\Python311\Lib\inspect.py:973(getmodule)
    57070    0.136    0.000    0.194    0.000 F:\Ventura\env\Lib\site-packages\torch\nn\parameter.py:10(__instancecheck__)
24589/2051    0.084    0.000    0.192    0.000 E:\Python311\Lib\copy.py:128(deepcopy)
     5611    0.192    0.000    0.192    0.000 {built-in method torch.as_tensor}
    19198    0.187    0.000    0.187    0.000 {method 'reshape' of 'torch._C.TensorBase' objects}
        1    0.000    0.000    0.184    0.184 F:\Ventura\env\Lib\site-packages\sympy\printing\pycode.py:1(<module>)
        1    0.000    0.000    0.182    0.182 F:\Ventura\env\Lib\site-packages\sympy\printing\codeprinter.py:1(<module>)
        1    0.000    0.000    0.181    0.181 F:\Ventura\env\Lib\site-packages\sympy\functions\__init__.py:1(<module>)
     2048    0.006    0.000    0.177    0.000 E:\Python311\Lib\copy.py:201(_deepcopy_list)
     2653    0.005    0.000    0.175    0.000 F:\Ventura\env\Lib\site-packages\torch\_dynamo\trace_rules.py:2873(_load_obj_from_str)
     3024    0.174    0.000    0.174    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
      848    0.004    0.000    0.170    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
     5230    0.020    0.000    0.164    0.000 E:\Python311\Lib\enum.py:688(__call__)
      848    0.162    0.000    0.162    0.000 {built-in method marshal.loads}
    57061    0.116    0.000    0.161    0.000 F:\Ventura\env\Lib\site-packages\torch\nn\parameter.py:216(__instancecheck__)
        1    0.000    0.000    0.159    0.159 F:\Ventura\env\Lib\site-packages\torch\onnx\utils.py:1(<module>)
     2051    0.017    0.000    0.157    0.000 E:\Python311\Lib\copy.py:227(_deepcopy_dict)
     3095    0.004    0.000    0.157    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     2048    0.051    0.000    0.154    0.000 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\buffers.py:439(add)
     3024    0.035    0.000    0.149    0.000 E:\Python311\Lib\logging\__init__.py:1561(findCaller)
        1    0.000    0.000    0.146    0.146 F:\Ventura\env\Lib\site-packages\torch\onnx\_internal\diagnostics\__init__.py:1(<module>)
     5610    0.124    0.000    0.146    0.000 F:\Ventura\env\Lib\site-packages\gym_anytrading\envs\stocks_env.py:28(_calculate_reward)
     5229    0.141    0.000    0.143    0.000 E:\Python311\Lib\enum.py:1093(__new__)
        1    0.000    0.000    0.141    0.141 F:\Ventura\env\Lib\site-packages\torch\onnx\_internal\diagnostics\_diagnostic.py:1(<module>)
        1    0.000    0.000    0.140    0.140 F:\Ventura\env\Lib\site-packages\torch\onnx\_internal\diagnostics\infra\__init__.py:1(<module>)
        1    0.000    0.000    0.139    0.139 F:\Ventura\env\Lib\site-packages\torch\_higher_order_ops\map.py:1(<module>)
        1    0.000    0.000    0.137    0.137 F:\Ventura\env\Lib\site-packages\torch\_functorch\aot_autograd.py:1(<module>)
    84257    0.136    0.000    0.136    0.000 F:\Ventura\env\Lib\site-packages\torch\nn\modules\module.py:1918(__getattr__)
     2368    0.012    0.000    0.136    0.000 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\policies.py:660(extract_features)
    66392    0.136    0.000    0.136    0.000 {built-in method torch._C._get_tracing_state}
     2368    0.134    0.000    0.134    0.000 F:\Ventura\env\Lib\site-packages\torch\distributions\constraints.py:297(check)
        1    0.000    0.000    0.132    0.132 F:\Ventura\env\Lib\site-packages\torch\onnx\_internal\diagnostics\infra\_infra.py:1(<module>)
     5930    0.011    0.000    0.128    0.000 F:\Ventura\env\Lib\site-packages\torch\distributions\categorical.py:100(probs)
      682    0.007    0.000    0.126    0.000 <frozen ntpath>:674(realpath)
        1    0.000    0.000    0.125    0.125 F:\Ventura\env\Lib\site-packages\sympy\core\__init__.py:1(<module>)
     5931    0.039    0.000    0.123    0.000 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\preprocessing.py:92(preprocess_obs)
        1    0.000    0.000    0.122    0.122 F:\Ventura\env\Lib\site-packages\torch\onnx\_internal\diagnostics\infra\formatter.py:1(<module>)
      471    0.002    0.000    0.122    0.000 F:\Ventura\env\Lib\site-packages\sympy\core\basic.py:182(__init_subclass__)
        1    0.000    0.000    0.121    0.121 F:\Ventura\env\Lib\site-packages\torch\onnx\_internal\diagnostics\infra\sarif\__init__.py:1(<module>)
      472    0.055    0.000    0.120    0.000 F:\Ventura\env\Lib\site-packages\sympy\core\assumptions.py:614(_prepare_class_assumptions)
     5931    0.013    0.000    0.118    0.000 F:\Ventura\env\Lib\site-packages\torch\nn\modules\flatten.py:52(forward)
     5930    0.016    0.000    0.118    0.000 F:\Ventura\env\Lib\site-packages\torch\distributions\utils.py:82(logits_to_probs)
    10027    0.116    0.000    0.116    0.000 {method 'numpy' of 'torch._C.TensorBase' objects}
     6571    0.113    0.000    0.113    0.000 {method 'flatten' of 'torch._C.TensorBase' objects}
        1    0.000    0.000    0.112    0.112 F:\Ventura\env\Lib\site-packages\sympy\polys\partfrac.py:1(<module>)
        1    0.000    0.000    0.112    0.112 F:\Ventura\env\Lib\site-packages\sympy\utilities\decorator.py:59(xthreaded)
        1    0.000    0.000    0.112    0.112 F:\Ventura\env\Lib\site-packages\sympy\utilities\decorator.py:10(threaded_factory)
        1    0.000    0.000    0.110    0.110 F:\Ventura\env\Lib\site-packages\sympy\matrices\__init__.py:1(<module>)
       89    0.001    0.000    0.109    0.001 F:\Ventura\env\Lib\site-packages\sympy\multipledispatch\dispatcher.py:178(add)
      274    0.002    0.000    0.108    0.000 E:\Python311\Lib\dataclasses.py:588(_repr_fn)
       89    0.000    0.000    0.108    0.001 F:\Ventura\env\Lib\site-packages\sympy\multipledispatch\dispatcher.py:222(reorder)
     1364    0.108    0.000    0.108    0.000 {built-in method nt._getfinalpathname}
    78276    0.064    0.000    0.105    0.000 {built-in method builtins.getattr}
