         4913920 function calls (4584492 primitive calls) in 13.935 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  2670/15    0.004    0.000    0.276    0.018 <frozen importlib._bootstrap>:1194(_gcd_import)
        6    0.000    0.000    0.276    0.046 F:\Ventura\env\Lib\site-packages\torch\_dynamo\polyfills\loader.py:22(<genexpr>)
     4553    0.078    0.000    0.271    0.000 F:\Ventura\env\Lib\site-packages\gym_anytrading\envs\trading_env.py:80(step)
        1    0.000    0.000    0.269    0.269 F:\Ventura\env\Lib\site-packages\sympy\polys\polyfuncs.py:1(<module>)
        8    0.000    0.000    0.268    0.033 F:\Ventura\env\Lib\site-packages\torch\_dynamo\decorators.py:245(wrapper)
        1    0.000    0.000    0.267    0.267 F:\Ventura\env\Lib\site-packages\sympy\polys\specialpolys.py:1(<module>)
        1    0.000    0.000    0.264    0.264 F:\Ventura\env\Lib\site-packages\torch\_dynamo\polyfills\builtins.py:1(<module>)
        1    0.004    0.004    0.261    0.261 F:\Ventura\env\Lib\site-packages\torch\_dynamo\trace_rules.py:2854(get_torch_obj_rule_map)
     2369    0.008    0.000    0.259    0.000 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\torch_layers.py:227(forward_critic)
      879    0.002    0.000    0.258    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
        1    0.000    0.000    0.257    0.257 F:\Ventura\env\Lib\site-packages\torch\_dynamo\variables\higher_order_ops.py:1(<module>)
     2653    0.008    0.000    0.257    0.000 F:\Ventura\env\Lib\site-packages\torch\_dynamo\trace_rules.py:2883(load_object)
      879    0.005    0.000    0.256    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
        1    0.000    0.000    0.252    0.252 F:\Ventura\env\Lib\site-packages\torch\onnx\__init__.py:1(<module>)
     9184    0.026    0.000    0.250    0.000 F:\Ventura\env\Lib\site-packages\torch\nn\modules\module.py:2611(parameters)
        1    0.000    0.000    0.247    0.247 F:\Ventura\env\Lib\site-packages\sympy\polys\rings.py:1(<module>)
    15751    0.032    0.000    0.242    0.000 F:\Ventura\env\Lib\site-packages\torch\package\package_importer.py:726(_patched_getfile)
        1    0.000    0.000    0.240    0.240 F:\Ventura\env\Lib\site-packages\torch\distributed\tensor\_ops\_conv_ops.py:1(<module>)
        1    0.000    0.000    0.240    0.240 F:\Ventura\env\Lib\site-packages\sympy\printing\__init__.py:1(<module>)
     1040    0.019    0.000    0.234    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
     2101    0.005    0.000    0.234    0.000 E:\Python311\Lib\logging\__init__.py:1216(emit)
     4873    0.061    0.000    0.231    0.000 F:\Ventura\env\Lib\site-packages\torch\distributions\constraints.py:243(check)
    77792    0.088    0.000    0.230    0.000 F:\Ventura\env\Lib\site-packages\torch\nn\modules\module.py:2722(children)
     2101    0.012    0.000    0.228    0.000 E:\Python311\Lib\logging\__init__.py:1098(emit)
     9184    0.012    0.000    0.219    0.000 F:\Ventura\env\Lib\site-packages\torch\nn\modules\module.py:2636(named_parameters)
     4202    0.009    0.000    0.218    0.000 E:\Python311\Lib\logging\__init__.py:942(format)
        1    0.000    0.000    0.213    0.213 F:\Ventura\env\Lib\site-packages\torch\distributed\tensor\_dtensor_spec.py:1(<module>)
        1    0.000    0.000    0.210    0.210 F:\Ventura\env\Lib\site-packages\torch\distributed\tensor\placement_types.py:1(<module>)
     4202    0.032    0.000    0.209    0.000 E:\Python311\Lib\logging\__init__.py:674(format)
     9184    0.054    0.000    0.208    0.000 F:\Ventura\env\Lib\site-packages\torch\nn\modules\module.py:2591(_named_members)
      320    0.007    0.000    0.207    0.001 F:\Ventura\env\Lib\site-packages\torch\nn\utils\clip_grad.py:28(_no_grad_wrapper)
     9746    0.058    0.000    0.205    0.000 F:\Ventura\env\Lib\site-packages\torch\distributions\utils.py:145(__get__)
     2368    0.037    0.000    0.202    0.000 F:\Ventura\env\Lib\site-packages\torch\distributions\distribution.py:274(_validate_sample)
     2506    0.017    0.000    0.201    0.000 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\policies.py:148(device)
     5017    0.032    0.000    0.197    0.000 F:\Ventura\env\Lib\site-packages\pandas\core\internals\managers.py:557(copy)
      274    0.002    0.000    0.197    0.001 E:\Python311\Lib\dataclasses.py:1195(dataclass)
       10    0.000    0.000    0.195    0.020 F:\Ventura\env\Lib\site-packages\torch\library.py:161(_register_fake)
      320    0.018    0.000    0.193    0.001 F:\Ventura\env\Lib\site-packages\torch\nn\utils\clip_grad.py:36(clip_grad_norm_)
     5039    0.056    0.000    0.192    0.000 F:\Ventura\env\Lib\site-packages\pandas\core\internals\managers.py:317(apply)
